Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Envigado,Residencial,3,Alcantarillado,3850.51,2465.38,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,5,Acueducto,11428.19,5336.93,5336.93,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,5,Alcantarillado,6485.07,4152.22,4152.22,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,6,Acueducto,12332.93,5660.38,5660.38,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,6,Alcantarillado,6485.07,4411.74,4411.74,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Comercial,Comercial,Acueducto,10571.09,0.00,0.00,4851.75,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Comercial,Comercial,Alcantarillado,6079.76,0.00,0.00,3892.71,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Industrial,Industrial,Acueducto,9161.61,0.00,0.00,4204.85,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Industrial,Industrial,Alcantarillado,5269.12,0.00,0.00,3373.68,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,1,Acueducto,2114.22,970.35,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,1,Alcantarillado,1215.95,778.54,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,2,Acueducto,4228.43,1940.70,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,3,Acueducto,5990.28,2749.33,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,3,Alcantarillado,3445.19,2205.87,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,5,Acueducto,10571.09,4851.75,4851.75,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,5,Alcantarillado,6079.76,3892.71,3892.71,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,6,Acueducto,11275.82,5175.20,5175.20,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Girardota,Residencial,6,Alcantarillado,6485.07,4152.22,4152.22,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Comercial,Comercial,Acueducto,11275.82,0.00,0.00,5175.20,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Comercial,Comercial,Alcantarillado,6079.76,0.00,0.00,3892.71,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Industrial,Industrial,Acueducto,9866.35,0.00,0.00,4528.30,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Industrial,Industrial,Alcantarillado,5269.12,0.00,0.00,3373.68,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,1,Acueducto,3876.06,1788.98,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,1,Alcantarillado,2229.24,1427.33,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,2,Acueducto,4580.80,2102.43,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,2,Alcantarillado,2634.56,1686.84,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,3,Acueducto,6695.02,3072.78,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,3,Alcantarillado,3850.51,2465.38,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,5,Acueducto,10571.09,4851.75,4851.75,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,5,Alcantarillado,6079.76,3892.71,3892.71,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,6,Acueducto,11275.82,5175.20,5175.20,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Itaguí,Residencial,6,Alcantarillado,6485.07,4152.22,4152.22,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Comercial,Comercial,Acueducto,10923.45,0.00,0.00,5013.48,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Comercial,Comercial,Alcantarillado,6282.41,0.00,0.00,4022.47,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Industrial,Industrial,Acueducto,10127.10,0.00,0.00,4647.98,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Industrial,Industrial,Alcantarillado,5893.31,0.00,0.00,3773.33,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,1,Acueducto,2114.22,970.35,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,1,Alcantarillado,1215.95,778.54,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,2,Acueducto,4228.43,1940.70,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
